sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12
73	19	59	5	8	6	74	73	128	4	7	4
104	29	86	13	9	7	121	126	179	6	12	6
127	43	104	15	12	10	151	143	229	9	16	7
159	67	150	19	12	13	207	177	320	10	18	9
189	79	182	21	13	13	249	190	379	10	20	9
198	92	198	21	15	12	260	183	405	12	19	11
208	101	204	22	13	16	274	177	406	15	17	11
204	107	194	19	13	16	270	170	372	17	17	11
189	102	176	15	15	15	238	129	328	17	13	12
169	87	157	15	15	12	209	113	270	18	13	10
139	68	114	11	15	17	159	88	187	18	14	12
105	48	84	12	16	17	117	75	125	17	14	12
81	36	62	9	12	16	83	61	76	13	13	10
50	22	41	8	10	10	48	40	46	10	12	9
31	15	31	5	9	9	30	27	26	6	11	7
21	11	23	4	4	9	16	23	20	3	13	7
12	11	20	4	4	7	13	22	17	2	11	8
8	11	14	3	4	2	7	17	14	2	11	5
5	7	7	2	2	2	3	14	7	2	9	3
4	5	6	2	2	2	3	11	7	2	9	3
4	5	3	2	2	2	4	9	7	3	9	3
3	4	2	2	2	1	4	5	6	3	7	3
1	2	1	1	1	1	2	5	3	2	3	0
0	0	1	1	1	1	2	3	2	1	1	0
0	0	1	2	3	1	2	3	1	1	1	0
0	0	1	2	3	2	2	3	1	1	1	0
0	0	1	2	4	2	1	2	2	1	1	0
0	0	0	2	6	2	1	1	2	0	1	0
0	0	0	2	7	1	1	0	2	0	2	0
0	0	0	1	7	1	1	0	2	0	2	0
0	0	0	1	6	1	0	0	2	0	2	0
1	0	0	0	6	1	0	0	2	0	1	0
2	0	0	0	5	0	0	0	2	0	1	1
2	0	1	0	3	1	0	0	2	0	1	1
2	0	1	0	1	2	0	0	2	0	1	1
2	0	3	0	1	2	1	0	2	1	0	2
2	0	3	0	1	2	1	0	2	1	0	2
2	0	3	0	1	2	1	0	2	1	0	3
1	0	3	0	0	4	1	0	1	1	0	3
0	0	3	0	0	4	1	0	1	1	0	2
0	0	2	0	0	3	1	0	0	1	0	2
0	0	2	0	0	2	1	0	0	1	0	2
0	0	0	0	0	2	0	0	0	0	0	1
0	0	0	0	0	2	0	0	0	0	0	1
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	1	1	0	0	0	0	0
0	0	0	0	1	1	0	0	0	0	0	0
0	0	0	0	1	1	0	0	0	0	1	0
0	0	1	0	1	1	0	0	0	0	1	0
0	0	1	0	1	1	0	0	0	0	1	0
0	0	1	0	1	1	1	0	0	0	1	0
0	0	1	0	1	0	1	0	0	0	1	0
0	0	1	0	0	0	1	0	0	0	1	0
0	0	1	0	1	0	1	0	0	0	1	0
1	0	1	0	1	0	1	0	0	0	0	0
1	0	0	0	1	0	1	0	0	0	0	0
1	0	0	0	1	0	1	0	0	0	0	0
1	0	0	0	1	0	1	0	0	0	0	0
1	0	1	0	1	0	2	0	0	0	0	1
1	1	1	0	1	0	2	0	0	0	0	1
1	2	1	0	1	1	2	0	1	0	0	1
0	2	1	0	1	1	2	0	2	0	0	1
0	2	1	1	2	2	3	0	2	0	0	2
0	2	2	1	2	2	2	0	2	0	0	2
0	2	2	1	2	2	1	1	2	0	0	1
1	2	3	1	3	2	1	1	2	0	0	2
1	0	3	1	5	4	1	1	2	0	0	2
2	1	3	1	4	3	1	1	2	0	0	2
2	1	3	1	5	3	1	1	1	0	0	2
2	1	3	0	4	2	0	1	1	0	0	1
3	1	2	0	4	2	0	0	1	0	0	1
3	2	3	0	4	2	1	0	2	0	0	1
4	3	4	0	3	1	1	0	5	0	0	0
8	4	6	0	2	1	5	0	9	0	0	0
9	7	14	0	1	1	10	0	10	0	0	0
14	9	19	0	2	1	14	1	16	0	0	0
16	11	21	1	3	1	15	3	19	0	0	1
17	15	26	1	3	1	19	3	23	0	0	1
19	15	33	1	3	0	24	5	25	0	0	2
22	17	30	1	2	0	25	6	24	0	0	2
20	16	28	1	2	0	22	6	25	0	0	3
16	13	22	1	2	0	16	6	23	0	0	3
13	12	16	0	1	0	13	5	20	0	0	3
10	9	15	0	0	0	11	3	14	0	0	2
9	6	7	0	0	0	8	3	13	0	0	1
